date,gz_spread,ebp,est_prob
OCT2013,1.9670,-0.0572,0.1900095164
NOV2013,1.9196,-0.0056,0.2089523152
DEC2013,1.7720,-0.1447,0.1603992011
JAN2014,1.8290,-0.3277,0.1087437436
FEB2014,1.7230,-0.2274,0.1353348834
MAR2014,1.6732,-0.2957,0.1167691882
APR2014,1.6126,-0.3861,0.0950994349
MAY2014,1.6149,-0.4074,0.0904469262
JUN2014,1.5837,-0.3350,0.1069570078
JUL2014,1.6402,-0.3510,0.1031239671
AUG2014,1.6399,-0.3545,0.1023158242
SEP2014,1.7830,-0.2571,0.1270365913
OCT2014,1.8960,-0.2671,0.1243191471
NOV2014,2.0478,-0.0054,0.2090236794
DEC2014,2.1361,-0.0112,0.206848223
JAN2015,2.2045,-0.1905,0.1461580988
FEB2015,1.9617,-0.4244,0.0868535239
MAR2015,2.0777,-0.2466,0.1299372318
APR2015,2.0352,-0.1004,0.1749965692
MAY2015,2.0328,-0.0475,0.1935056896
JUN2015,2.1672,0.0804,0.2428959803
JUL2015,2.3139,0.1177,0.2585125986
AUG2015,2.4295,0.3022,0.3425565781
SEP2015,2.6259,0.4118,0.3968301666
OCT2015,2.4093,0.3177,0.3500340466
NOV2015,2.4533,0.3897,0.3856992298
DEC2015,2.6679,0.5610,0.473910357
JAN2016,3.0642,0.7555,0.5754033968
FEB2016,3.0646,0.7726,0.5841894246
MAR2016,2.6648,0.4338,0.4080206006
APR2016,2.3944,0.0982,0.250268234
MAY2016,2.3607,0.1013,0.2515638916
JUN2016,2.4538,-0.1286,0.1655981253
JUL2016,2.2589,-0.1743,0.1511026381
AUG2016,2.0517,-0.1644,0.1541587921
SEP2016,2.0363,-0.2236,0.1364391937
OCT2016,1.8688,-0.1928,0.1454661094
NOV2016,1.7801,-0.8931,0.0240577778
DEC2016,1.6542,-0.3243,0.1095614039
JAN2017,1.6113,-0.2699,0.1235609089
FEB2017,1.5622,-0.2632,0.1253855393
MAR2017,1.5979,-0.2450,0.1303653895
APR2017,1.5755,-0.2022,0.1426614643
MAY2017,1.5433,-0.2633,0.1253523907
JUN2017,1.5159,-0.2266,0.1355850173
JUL2017,1.4553,-0.2494,0.1291553111
AUG2017,1.5642,-0.1919,0.1457598087
SEP2017,1.4379,-0.3821,0.095991895
OCT2017,1.3741,-0.3247,0.1094814756
NOV2017,1.3753,-0.2465,0.1299555175
DEC2017,1.3348,-0.3163,0.1115412564
JAN2018,1.2120,-0.5089,0.0705834683
FEB2018,1.3121,-0.3547,0.1022606906
MAR2018,1.4863,-0.2220,0.1368964256
APR2018,1.4101,-0.4114,0.0895818153
MAY2018,1.5006,-0.3269,0.1089297817
JUN2018,1.5823,-0.0976,0.175933866
JUL2018,1.4452,-0.2559,0.1273671049
AUG2018,1.4816,-0.2277,0.1352521433
SEP2018,1.3881,-0.3074,0.1137945759
OCT2018,1.5377,-0.1263,0.166374165
NOV2018,1.7229,-0.0035,0.2097516539
DEC2018,2.0015,0.1537,0.2740171908
JAN2019,1.7380,-0.0064,0.2086587692
FEB2019,1.5694,-0.0935,0.1773421883
MAR2019,1.6079,-0.3148,0.1119218991
APR2019,1.5060,-0.1729,0.1515330063
